name,count
querySysDictItemById,"554,286"
queryItemListByDictId,"102,574"
queryPageBySql,"98,833"
queryDataAuthRefListByTablesOnlyDataApi,"55,609"
queryExcludedTablesforDtoOnlyDataApi,"55,609"
selectValidUserByLoginName,"49,414"
queryByToken,"49,412"
queryDataSourcesByDSName,"49,411"
selectApiRole,"49,411"
selectApiRoleIdList,"49,411"
queryDataSourcesByModCodes,"46,026"
queryDataSourcesByDSIds,"46,012"
queryMenuList,"8,828"
queryItemByDictId,"7,708"
queryReportTaskCountsForIndex,"5,613"
queryRuleTaskCountsForIndex,"5,613"
queryUploadTaskCountsForIndex,"5,612"
login,"5,604"
listComSearch,"5,034"
querySysDictItemListByDictId,"4,613"
queryDictByDictIds,"4,306"
getReportVersionList,"4,059"
listAuthTableIdByUserId,"3,322"
listReportDefineByCondition,"3,322"
queryRolesByCondition,"3,316"
pageQueryDirectSubmitTask,"3,118"
queryOrgByOrgIds,"3,114"
listAllFlowStatus,"3,113"
listSysUserByCondition,"3,113"
queryBiInfo4Analysis,"2,708"
tokenCheck,"2,349"
queryReportNameList,"2,323"
queryReportManagePage,"2,180"
queryTagTree,"2,101"
listRuleTypeCondition,"1,938"
listIntervalIdxInfo,"1,878"
queryWatermark,"1,815"
queryCusTree,"1,599"
queryCusIndexTree,"1,578"
querySubmitTaskResultSummary,"1,485"
getCustConditionItem,"1,422"
queryDocReportTaskCountsForIndex,"1,411"
queryDimIndiRelation,"1,274"
queryIndiTemplateRelation,"1,274"
queryExportDataInfo,"1,224"
queryReportDefineByReportId,"1,161"
queryFlowStatusList,"1,082"
queryReceiverRoleList,"1,078"
queryRateDiscntAnnouncePage,"1,019"
listTemplate,991
exportQueryData,928
querySubmitTaskResultDetail,852
listComSearchSale,795
listTemplateProdRank,724
chooseTemplate,670
queryDataSupplementPage,658
getReportStream,595
logout,585
queryAllTableNameList,576
queryTableDataPage,532
queryNaviTableDefineByDataSourceId,516
queryValidateTaskSummaryInfo,479
querySysDictItemByDictIdAndItemCode,457
queryValidateTaskResultRuleSummaryInfo,435
listComSearchPeer,417
reportReRunValidate,416
agencyOrg,413
queryReportNameForDirectSubmit,401
queryRolePage,400
pageDocReportTemplateDefine,398
queryForDataSupplementPermission,381
index.php,374
reportReRun,374
queryForCheckRulesTask,357
queryCusTreePeer,354
selectByDictId,342
queryDmSupTemplateConf,340
queryRdaData,336
queryTablePage,336
queryForRptTable,320
index.html,319
queryPrdOpenPreviewPage,319
monitorAnnounceStatus,296
loadTemplateListByType,285
queryPrdByCode,282
pageDisclosureIssueInfo,276
queryUserPage,269
queryDataSupplementParentPage,262
addRateDiscntAnnounce,238
deleteRdaDataSingle,238
pageDisclosureExpireInfo,238
queryRoleForCheck1lvl,228
selectUnitIdListForDataSupByCondition,228
queryDataSourceList,222
queryNaviTableDataPage,217
pageDisclosureNetWorthInfo,215
getReportTree,213
queryConfigByTableId,210
exportQueryDataSale,208
checkTableColAuth,198
finishDisclosureIssueInfo,198
queryForSysNameAndLabelVal,193
queryNaviMetaTableTree,193
queryUnitIdListForDataSup,184
getRelatedPartyMaintainPage,182
queryParentMenuId,182
relatedTxPrchDetailPage,177
queryMetaTableTree,176
getBizType,172
queryRateDiscntAnnounce4Edit,172
queryDataAuthRefListByEmpId,168
queryDataAuthRefListExcludeByEmpId,168
manualSupplementData,166
verifyReport,166
uploadDataSupplement,165
favicon.ico,163
updatePasswd,157
login.html,154
queryOrgname,154
queryRdaPushLog,154
selectTemplateByRptId,152
finishDisclosureExpireInfo,149
exportReportExcel,145
exportDataCollection,140
updateDoneSysSet,140
getColumnDefineListByCondition,135
pageQueryDeptReviewDataSupplement,132
fileEncrypt,128
queryNaviDmSupTemplateConf,128
queryRoleForSubmitCheck,128
queryRolename,126
submitCheckOfDataSupplement,122
modules.php,120
pageQueryDeptApproveDataSupplement,118
queryUrlVisitInfo,117
judgeTableIsLockedForLvl1,116
judgeTableIsLockedForLvl2,116
queryLogPage,116
queryNaviColumnPrimaryKeysByCondition,116
checkDataSupplement1lvl,114
queryDesensitDetailList,114
lockTableOperation,112
login.jsp,112
modifyRateDiscntAnnounce,112
queryDataAggregationTask,112
checkDataSupplement2lvl,110
listTemplateName,109
relatedPropTradeInvestPage,108
getSpecialIOrg,107
listConsumerProtectReportDefine,106
queryEhrFromGbase,104
listTemplateSale,102
queryRwaData,102
README.txt,100
getQueryCondByTableId,100
downloadReportFileDefine,98
getRelatedPartyType,98
queryTemplateByRptId,98
queryOrgMapByCondition,95
queryUploadTableList,95
login.php,94
supplementValidateConnectedControl,94
index.jsp,92
saveTemplate,90
exportDisclosureNetWorthInfo,88
queryDictForDirectSubmit,87
finishAnnounce,82
queryLatestIstrRate,82
Documentation.html,80
chooseTemplateSale,78
queryDeptList,78
downloadTemplateFile,76
updateRole,75
awstatstotals.php,72
story.pl,72
pageRelatedTxDetailPre,70
queryOrgTree,69
editAchivCmprBchmk,68
queryDictForDataCollection,68
admin.php,66
manualDirectSubmitWemax,66
getRiskLrAssetTree,65
main.php,64
orders,64
0.txt,60
login.aspx,60
plugin.xml,60
index,59
exportRateDiscntAnnounce,58
getRelatedSearchPage,58
clearCurrentUserTempDir,57
cgicso,56
queryNaviTableDefineConf,55
exportNaviTableDataByQueryCondition,54
htsearch,53
exportForCheckRulesTask,52
listPage,52
listIndexDetail,50
style.css,50
users.php,50
batchUnlockTable,48
install.php,48
main,48
wordpress,48
updateDmSupTemplate,47
queryValidateTaskResultRuleDetail,46
checkReportWarnMsg,44
messages.php,44
common.php,42
passwd,42
queryValidateTaskResultRuleCondition,42
updateRwaDataSingle,42
cgi-bin,40
exportDisclosureIssueAnnounce,40
queryByTaskId,40
theme.xml,40
exportParamSupCheckData,38
importRdaData,38
login.action,38
queryReportFileDefinePage,38
listTemplatePeer,37
optionSecuritiesMatchStatus,37
pageInvestigateTask,37
userLogin.asp,37
admin,36
dashboard,36
index.cgi,36
loadScenarioList,36
querySysLogByParamCheckWithDeleteOperation,36
relatedPropRptStatPageTranType,36
sirmappQueryRolename,36
status.php3,36
exportTableDataByQueryCondition,32
index.htm,32
login.asp,32
foot.htm,30
getBeforeDesensitTableList,30
logo.gif,30
queryDataAggregationTaskEnum,30
queryPrdClsRule,30
tomcat.gif,30
queryAccumMoney,29
queryScenDetail,29
downloadSupplementTableData,28
exportDisclosureExpireAnnounce,28
getRptParaByTableId,28
srcDataSup,28
relatedPropRptStatPage,27
antiMoneyLaundIvstgtListDownLoad,26
editReport,26
exportQuerySql,26
queryTemplateFactorList,26
reportReloadBatch,26
reportValidateBeforeEdit,26
webplus,26
sql.php3,25
Dashboard.jspa,24
Main_Analysis_Content.asp,24
Tri%6Eity.txt%2ebak,24
UploadFileUpload.do,24
amf,24
cfcexplorer.cfc,24
channel,24
getSrcTableByRptTableId,24
list,24
macdownload.php,24
opendir.php,24
posts,24
queryStressTestingReportInfo,24
r.cgi,24
relatedBrokerComsPage,24
remotehtmlview.php,24
rest,24
rtr,24
systeminfo,24
uilogonsubmit.jsp,24
update.php,24
upload.cgi,24
uploadplugin.action,24
viewsource.jsp,24
wp-login.php,24
phpmyadmin,23
accounting,22
